Date,BTC,VIX,BTC_Return,VIX_Change,FearGreed,FundingRate,NextDay_Return,VIX_Lag1,Fear_Lag1,Fund_Lag1
2021-11-11,64949.9609375,17.65999984741211,-0.0006965054346836,-0.0571275878790792,77,0.0005130766666666666,-0.0122250963632459,17.65999984741211,77,0.0005130766666666666
2021-11-12,64155.94140625,16.290000915527344,-0.0122250963632459,-0.0775763841292175,74,-0.0003054666666666667,-0.0291593233239323,16.290000915527344,74,-0.0003054666666666667
2021-11-15,63557.87109375,16.489999771118164,-0.0291593233239323,0.0122773998987431,72,-2.0006666666666663e-05,-0.0534414533015095,16.489999771118164,72,-2.0006666666666663e-05
2021-11-16,60161.24609375,16.3700008392334,-0.0534414533015095,-0.0072770729866801,71,-5.923333333333329e-06,0.0034368574194389,16.3700008392334,71,-5.923333333333329e-06
2021-11-17,60368.01171875,17.110000610351562,0.0034368574194389,0.0452046263397025,52,0.00015017,-0.0567498398980057,17.110000610351562,52,0.00015017
2021-11-18,56942.13671875,17.59000015258789,-0.0567498398980057,0.0280537419704081,54,0.0001,0.0206778578061734,17.59000015258789,54,0.0001
2021-11-19,58119.578125,17.90999984741211,0.0206778578061734,0.0181921371261124,34,0.00010528333333333334,-0.0415659405964827,17.90999984741211,34,0.00010528333333333334
2021-11-22,56289.2890625,19.170000076293945,-0.0415659405964827,0.0703517721729014,50,0.00023158333333333332,0.022735855747423,19.170000076293945,50,0.00023158333333333332
2021-11-23,57569.07421875,19.3799991607666,0.022735855747423,0.0109545687864835,33,0.0001,-0.0223843870166022,19.3799991607666,33,0.0001
2021-11-24,56280.42578125,18.579999923706055,-0.0223843870166022,-0.0412796321828582,42,0.00020093666666666664,-0.064686770536555,18.579999923706055,42,0.00020093666666666664
2021-11-26,53569.765625,28.6200008392334,-0.064686770536555,0.540366036423789,47,0.0005211266666666667,0.009748898117819,28.6200008392334,47,0.0005211266666666667
2021-11-29,57806.56640625,22.959999084472656,0.009748898117819,-0.1977638570506886,33,0.0001,-0.0138589899868777,22.959999084472656,33,0.0001
2021-11-30,57005.42578125,27.190000534057617,-0.0138589899868777,0.1842335199588756,40,0.00029289666666666665,0.0039365085108058,27.190000534057617,40,0.00029289666666666665
2021-12-01,57229.828125,31.1200008392334,0.0039365085108058,0.144538441632362,34,0.0001,-0.0131402057875741,31.1200008392334,34,0.0001
2021-12-02,56477.81640625,27.950000762939453,-0.0131402057875741,-0.101863752917946,32,0.0001,-0.0509858648179134,27.950000762939453,32,0.0001
