Date,FundingRate
14/12/22 8:00,0.0001
14/12/22 0:00,0.0001
13/12/22 16:00,0.0001
13/12/22 8:00,0.0001
13/12/22 0:00,0.0001
12/12/22 16:00,0.0001
12/12/22 8:00,0.0001
12/12/22 0:00,0.0001
11/12/22 16:00,0.0001
11/12/22 8:00,0.0001
11/12/22 0:00,0.0001
10/12/22 16:00,0.0001
10/12/22 8:00,0.0001
10/12/22 0:00,0.0001
09/12/22 16:00,0.0001
09/12/22 8:00,0.0001
09/12/22 0:00,0.0001
08/12/22 16:00,0.0001
08/12/22 8:00,0.0001
08/12/22 0:00,9.32E-05
07/12/22 16:00,0.0001
07/12/22 8:00,0.0001
07/12/22 0:00,0.0001
06/12/22 16:00,0.0001
06/12/22 8:00,0.0001
06/12/22 0:00,0.0001
05/12/22 16:00,0.0001
05/12/22 8:00,0.0001
05/12/22 0:00,0.0001
04/12/22 16:00,0.0001
04/12/22 8:00,0.0001
04/12/22 0:00,0.0001
03/12/22 16:00,0.0001
03/12/22 8:00,0.0001
03/12/22 0:00,0.0001
02/12/22 16:00,0.0001
02/12/22 8:00,0.0001
02/12/22 0:00,0.0001
01/12/22 16:00,-0.00106087
01/12/22 8:00,-0.00092313
01/12/22 0:00,-0.00068704
30/11/22 16:00,-0.00049842
30/11/22 8:00,-0.00023605
30/11/22 0:00,0.0001
29/11/22 16:00,-0.00014203
29/11/22 8:00,-7.58E-05
29/11/22 0:00,-0.0001433
28/11/22 16:00,-0.00058244
28/11/22 8:00,-0.00036958
28/11/22 0:00,-0.00045355
27/11/22 16:00,-0.000474
27/11/22 8:00,-0.00052102
27/11/22 0:00,-0.00039608
26/11/22 16:00,-0.00032196
26/11/22 8:00,-6.31E-05
26/11/22 0:00,-0.00110348
25/11/22 16:00,-0.0011054
25/11/22 8:00,-0.00101152
25/11/22 0:00,-0.00117377
24/11/22 16:00,-0.00116332
24/11/22 8:00,-0.00115848
24/11/22 0:00,-0.00119333
23/11/22 16:00,-0.00088056
23/11/22 8:00,0.0001
23/11/22 0:00,0.0001
22/11/22 16:00,0.0001
22/11/22 8:00,0.0001
22/11/22 0:00,1.50E-05
21/11/22 16:00,0.0001
21/11/22 8:00,0.0001
21/11/22 0:00,0.0001
20/11/22 16:00,0.0001
20/11/22 8:00,0.0001
20/11/22 0:00,0.0001
19/11/22 16:00,0.0001
19/11/22 8:00,0.0001
19/11/22 0:00,0.0001
18/11/22 16:00,0.0001
18/11/22 8:00,1.88E-06
18/11/22 0:00,0.0001
17/11/22 16:00,0.0001
17/11/22 8:00,0.0001
17/11/22 0:00,0.00010347
16/11/22 16:00,0.0001
16/11/22 8:00,0.0001
16/11/22 0:00,0.0001
15/11/22 16:00,0.00022634
